topic|phrase
crime|crimin alien
crime|crimin background
crime|crimin charg
crime|crimin civil
crime|crimin code
crime|crimin convict
crime|crimin court
crime|crimin divis
crime|crimin element
crime|crimin enterpris
crime|crimin histori
crime|crimin investig
crime|crimin justic
crime|crimin offens
crime|crimin penalti
crime|crimin procedur
crime|crimin proceed
crime|crimin prosecut
crime|crimin record
crime|crimin sanction
crime|crimin statut
crime|crimin terrorist
crime|crimin trial
crime|danger drug
crime|death sentenc
crime|drug abus
crime|drug act
crime|drug addict
crime|drug administr
crime|drug alcohol
crime|drug also
crime|drug approv
crime|drug benefit
crime|drug bill
crime|drug cartel
crime|drug come
crime|drug compani
crime|drug control
crime|drug cosmet
crime|drug cost
crime|drug countri
crime|drug court
crime|drug coverag
crime|drug crime
crime|drug czar
crime|drug dealer
crime|drug devic
crime|drug drug
crime|drug educ
crime|drug elimin
crime|drug enforc
crime|drug epidem
crime|drug go
crime|drug import
crime|drug industri
crime|drug interdict
crime|drug issu
crime|drug kingpin
crime|drug legisl
crime|drug manufactur
crime|drug need
crime|drug offens
crime|drug one
crime|drug plan
crime|drug polici
crime|drug prevent
crime|drug problem
crime|drug product
crime|drug program
crime|drug smuggl
crime|drug smuggler
crime|drug test
crime|drug trade
crime|drug traffic
crime|drug traffick
crime|drug treatment
crime|drug unit
crime|drug use
crime|drug user
crime|drug war
crime|drugfre school
crime|effect drug
crime|enforc crimin
crime|feder crime
crime|feder crimin
crime|feder drug
crime|fight crime
crime|fight drug
crime|get drug
crime|get gun
crime|gun control
crime|gun crime
crime|gun dealer
crime|gun lobbi
crime|gun owner
crime|gun safeti
crime|gun use
crime|gun violenc
crime|hate crime
crime|heinous crime
crime|high crime
crime|human traffick
crime|illeg drug
crime|illeg narcot
crime|illicit drug
crime|import drug
crime|increas crime
crime|increas drug
crime|intern crimin
crime|intern drug
crime|intern narcot
crime|involv drug
crime|juvenil crime
crime|life imprison
crime|life sentenc
crime|machin gun
crime|make crime
crime|make crimin
crime|mandatori sentenc
crime|minimum sentenc
crime|narcot abus
crime|narcot addict
crime|narcot control
crime|narcot drug
crime|narcot traffick
crime|nation crime
crime|nation drug
crime|omnibus crime
crime|organ crime
crime|orphan drug
crime|penalti drug
crime|presid crime
crime|prevent crime
crime|prison sentenc
crime|prison term
crime|problem crime
crime|prosecut crime
crime|punish crime
crime|purchas gun
crime|reduc crime
crime|rehabilit program
crime|rehabilit servic
crime|releas prison
crime|relief rehabilit
crime|rise crime
crime|sentenc commiss
crime|sentenc death
crime|serious crime
crime|sex traffick
crime|state crimin
crime|stop drug
crime|street crime
crime|subcommitte crime
crime|subcommitte crimin
crime|traffick victim
crime|treatment rehabilit
crime|use drug
crime|use gun
crime|victim crime
crime|violent crime
crime|violent crimin
crime|vocat rehabilit
crime|war drug
crime|year imprison
crime|year prison
defense|act war
defense|activ militari
defense|adequ defens
defense|air defens
defense|amend defens
defense|america militari
defense|america veteran
defense|american arm
defense|american armi
defense|american militari
defense|american navi
defense|american soldier
defense|american veteran
defense|american war
defense|anoth war
defense|antiballist missil
defense|arm ammunit
defense|arm attack
defense|arm conflict
defense|arm control
defense|arm embargo
defense|arm export
defense|arm forc
defense|arm limit
defense|arm reduct
defense|arm sale
defense|armi air
defense|armi corp
defense|armi engin
defense|armi nation
defense|armi navi
defense|armi offic
defense|armi republ
defense|armi reserv
defense|armi unit
defense|armor plate
defense|assault weapon
defense|assist veteran
defense|atom bomb
defense|atom energi
defense|atom weapon
defense|author militari
defense|ballist missil
defense|bear arm
defense|begin war
defense|benefit veteran
defense|billion defens
defense|billion militari
defense|biolog weapon
defense|bodi armor
defense|bomber forc
defense|bring war
defense|care veteran
defense|carri war
defense|caus war
defense|central intellig
defense|chemic warfar
defense|chemic weapon
defense|chief armi
defense|chief naval
defense|civil defens
defense|civil war
defense|civilian militari
defense|class warfar
defense|close war
defense|coast defens
defense|coast guard
defense|cold war
defense|combat forc
defense|combat oper
defense|combat terror
defense|combat troop
defense|combat zone
defense|common defens
defense|compulsori militari
defense|conduct war
defense|continu war
defense|control disarma
defense|convent weapon
defense|corp armi
defense|cost war
defense|countri war
defense|cruis missil
defense|defens acquisit
defense|defens act
defense|defens activ
defense|defens agenc
defense|defens appropri
defense|defens area
defense|defens bill
defense|defens budget
defense|defens capabl
defense|defens contract
defense|defens contractor
defense|defens countri
defense|defens depart
defense|defens dollar
defense|defens educ
defense|defens effort
defense|defens equip
defense|defens establish
defense|defens expenditur
defense|defens forc
defense|defens foreign
defense|defens fund
defense|defens industri
defense|defens initi
defense|defens intellig
defense|defens issu
defense|defens mobil
defense|defens must
defense|defens nation
defense|defens need
defense|defens nuclear
defense|defens plan
defense|defens plant
defense|defens polici
defense|defens postur
defense|defens procur
defense|defens product
defense|defens program
defense|defens purpos
defense|defens requir
defense|defens secretari
defense|defens secur
defense|defens spend
defense|defens subcommitte
defense|defens support
defense|defens system
defense|defens unit
defense|depart defens
defense|depart homeland
defense|depart navi
defense|depart veteran
defense|depart war
defense|develop atom
defense|disabl soldier
defense|disabl veteran
defense|econom militari
defense|elig veteran
defense|end war
defense|enemi combat
defense|engag war
defense|enlist armi
defense|enlist men
defense|enlist personnel
defense|ensur veteran
defense|enter war
defense|escal war
defense|european war
defense|event war
defense|everi soldier
defense|fact war
